"","V1","Article_Number","Second_Filter_Flag","Article_Title","Authors","Abstract","Email_Addresses","Publication_Year","DOI","Source_Title","Keyword_Search","Reviewer","Recorder","Decision","Removal_Criteria","study_type","subject_1","subject_2","subject_3","subject_4","hybridization","system","tax_group","country_samp","loc_samp","year_samp","num_samp","gen_time","study_design","type_change","driver_process1","driver_process2","driver_process3","length_process","data_type","tissue_type","preserv_method","extract_method","seq_platform","lib_prep_method","notes","TP_1","NS_1","NS_2","NS_3","NS_4","NS_5","NS_6","NS_7","NS_8","NS_9","NS_10","NS_11","NS_12","NS_13","NS_14","NS_15","NS_16","NS_17","NS_18","NS_19","NS_20","NS_21","NS_22","NS_23","NS_24","NS_25","NS_26","NS_27","NS_28","NS_29","NS_30","NS_31","NS_32","NS_33","NS_34","NS_35","NS_36","NS_37","NS_38","NS_39","NS_40","NS_41","NS_42","NS_43","NS_44","NS_45","NS_46","NS_47","NS_48","NS_49","NS_50","NS_51","NS_52","NS_53","NS_54","NS_55","NS_56","NS_57","NS_58","NS_59","NS_60","NS_61","NS_62","NS_63","country_1","country_2","country_3","country_4","country_5","country_6","country_7","country_8","country_9","country_10","country_11","country_12","country_13","country_14","country_15","country_16","country_17","country_18","country_19","country_20","country_21","country_22","country_23","country_24","country_25","country_26","country_27","country_28","country_29","country_30","country_31","country_32","country_33","country_34","country_35","country_36","country_37","country_38","country_39","seq_platofrm","max_gen_diff","max_day_diff","max_year_diff"
"156",189,871,NA,"Spatial and temporal patterns of genetic diversity in an endangered Hawaiian honeycreeper, the Hawaii Akepa (Loxops coccineus coccineus)","Reding, DM; Freed, LA; Cann, RL; Fleischer, RC","As a result of disease, habitat destruction, and other anthropogenic factors, the Hawaii Akepa (Loxops coccineus coccineus) currently occupies <10% of its original range and exists in five disjunct populations, raising concerns about what effect such reduction and fragmentation has had on the connectivity and diversity of Akepa populations. In this study, we used both historical and contemporary samples to assess genetic diversity and structure in this endangered Hawaiian honeycreeper. We generated sequence data from two mtDNA regions (ND2, control region) and two nuclear introns for contemporary samples representing three of the five current populations. We also generated control region sequence data for museum specimens collected over 100 years ago from throughout the historical range of the bird. Results indicate that despite recent declines and fragmentation, genetic diversity has not been lost. We detected a modest level of genetic differentiation, which followed a combined pattern of isolation-by-barriers and isolation-by-distance, across the historical range of Akepa. The similarly low level of differentiation observed between the contemporary populations indicates that not much divergence, if any, has occurred post-fragmentation. Rather, the present structure seen likely reflects the historical pattern of distribution. Ironically, this declining species exhibits the genetic signal of an expanding population, demonstrating that earlier demographic events are outweighing the effects of recent changes in population size, and genetic estimates of Ne, though crude, suggest Hawaii Akepa were at least an order of magnitude more abundant prior to the decline.","reding@iastate.edu",2010,"10.1007/s10592-009-0025-8","CONSERVATION GENETICS","ancient-dna","AAS","Brendan","accept","accept","empirical","popsize","diversity","","","no","terrestrial","Aves","USA","Hawaii","2006.01.01,2002.01.01,2000.01.01,1995.01.01,1988.01.01,1903.01.01,1902.01.01,1901.01.01,1900.01.01,1899.01.01,1898.01.01,1896.01.01,1895.01.01,1894.01.01,1892.01.01,1891.01.01,1888.01.01","15,24,4,1,3,1,5,1,3,1,5,2,1,2,6,15,2",1095,"opportunistic","anthropogenic","disease","habitat_loss","","chronic","mtDNA_seq","skin","dried","Phenol-chloroform","Sanger","PCR","Also nuclear seqs but only for contemporary individuals. Samples lumped for NE inference but I think this still belongs in pop size?","2006.01.01","15","24","4","1","3","1","5","1","3","1","5","2","1","2",6,15,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3598173515982,43099,118.079452054795
"157",190,1771,NA,"Birds in space and time: genetic changes accompanying anthropogenic habitat fragmentation in the endangered black-capped vireo (Vireo atricapilla)","Athrey, G; Barr, KR; Lance, RF; Leberg, PL","Anthropogenic alterations in the natural environment can be a potent evolutionary force. For species that have specific habitat requirements, habitat loss can result in substantial genetic effects, potentially impeding future adaptability and evolution. The endangered black-capped vireo (Vireo atricapilla) suffered a substantial contraction of breeding habitat and population size during much of the 20th century. In a previous study, we reported significant differentiation between remnant populations, but failed to recover a strong genetic signal of bottlenecks. In this study, we used a combination of historical and contemporary sampling from Oklahoma and Texas to (i) determine whether population structure and genetic diversity have changed over time and (ii) evaluate alternate demographic hypotheses using approximate Bayesian computation (ABC). We found lower genetic diversity and increased differentiation in contemporary samples compared to historical samples, indicating nontrivial impacts of fragmentation. ABC analysis suggests a bottleneck having occurred in the early part of the 20th century, resulting in a magnitude decline in effective population size. Genetic monitoring with temporally spaced samples, such as used in this study, can be highly informative for assessing the genetic impacts of anthropogenic fragmentation on threatened or endangered species, as well as revealing the dynamics of small populations over time.","giri.athrey@tamu.edu",2012,"10.1111/j.1752-4571.2011.00233.x","EVOLUTIONARY APPLICATIONS","historical-dna","AAS","Brendan","accept","accept","empirical","popsize","diversity","","","no","terrestrial","Aves","USA","Texas, Oklahoma","2008.01.01,2006.01.01,2005.01.01,1915.01.01,1910.01.01,1908.01.01,1900.01.01","25,34,50,20,15,17,8",547.5,"opportunistic","anthropogenic","habitat_loss","invasive_species","","chronic","microsat","skin","dried","QiaAmp","Sanger","PCR","3 sites","2008.01.01","25","34","50","20","15","17","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.0474885844749,39446,108.071232876712
"158",191,8640,NA,"Recruitment and recovery of pink abalone (Haliotis corrugata) in a historically overexploited kelp forest: Are local populations self-sustaining?","Coates, JH; Hovel, KA; Butler, JL; Bohonak, AJ","After experiencing a reduction in density, many populations of benthic, broadcast spawning marine invertebrates have struggled to recover or have collapsed. Genetic techniques may help to distinguish populations that are self-sustaining from those at risk of further decline, and demographic interdependence among subpopulations. We tested the use of genetic data for identifying stable and self-sustaining abalone populations, as well as the efficacy of a restoration technique for use in those populations that are not. We created an artificial aggregation of wild adult pink abalone (Haliotis corrugata) in the Point Loma kelp forest near San Diego, CA, USA. We genetically analyzed those individuals and additional adults and juveniles in the broader region. A self-sustained population should not be demographically reliant upon immigration. Temporal variability in relatedness among juvenile cohorts, and a lack of fine-scale spatial structure in adult and juvenile relatedness indicated complex recruitment dynamics and/or long distance larval delivery. We estimated a low effective population size (N-e = 188) and a very low ratio of effective population to census population size (N-e/N = 2.0 x 10(-3)). These data are consistent with sweepstakes reproductive success, and suggest that the population is at risk of genetic diversity decline. Parentage assignment revealed that none of the juveniles sampled one year after aggregating adults had parents from this aggregation. Collectively, our results suggest that restoration efforts will need to achieve a greater density (0.18 m(-2)) and/or number of individuals (46) to improve local recruitment. Our results also suggest that the Point Loma kelp forest population of pink abalone is of insufficient density for long-term viability, may be reliant upon immigration, and cannot be defined as an independent """"""""""""""""local"""""""""""""""" population unit. (C) 2014 Elsevier B.V. All rights reserved.","julia.coates@wildlife.ca.gov",2014,"10.1016/j.jembe.2014.07.004","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY","temporal-genetics","ACS","Kyle","accept","accept","empirical","popsize","diversity","connectivity","","no","marine","Gastropoda","USA","California","2010.01.01,2009.01.01,2008.01.01","100,145,115",3686.5,"pre-designed","natural","","","","acute","microsat","muscle","ethanol","Qiagen","Sanger","PCR","They artificially created an area and tested for dispersal and population size in the study period, no real test of disturbance/driver; I don't know why but the """"""""num_samp"""""""" column keeps changing the format of the cell. In case the formatting becomes a problem, it should be """"""""100,145,115""""""""","2010.01.01","100","145","115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.198291061982911,731,2.0027397260274
"159",192,5369,NA,"Effective population size and heterozygosity-fitness correlations in a population of the Mediterranean lagoon ecotype of long-snouted seahorse Hippocampus guttulatus","Riquet, F; Lieutard-Haag, C; Serluca, G; Woodall, L; Claude, J; Louisy, P; Bierne, N","The management of endangered species is complicated in the marine environment owing to difficulties to directly access, track and monitor in situ. Population genetics provide a genuine alternative to estimate population size and inbreeding using non-lethal procedures. The long-snouted seahorse, Hippocampus guttulatus, is facing multiple threats such as human disturbance or by-catch, and has been listed in the red list of IUCN. One large population is found in the Thau lagoon, in the south of France. A recent study has shown this population belongs to a genetic lineage only found in Mediterranean lagoons that can be considered as an Evolutionarily Significant Unit (ESU) and should be managed with dedicated conservation strategies. In the present study, we used genetic analysis of temporal samples to estimate the effective population size of the Thau population and correlations between individual multilocus heterozygosity and fitness traits to investigate the possible expression of inbreeding depression in the wild. Non-invasive sampling of 172 seahorses for which profiles were pictured and biometric data recorded were genotyped using 291 informative SNPs. Genetic diversity remained stable over a 7-year time interval. In addition, very low levels of close relatedness and inbreeding were observed, with only a single pair of related individuals in 2008 and two inbreds in 2013. We did not detect departure from identity equilibrium. The effective population size was estimated to be N-e = 2742 ( 40 reproductive seahorses per km(2)), larger than previously thought. No correlation was observed between heterozygosity and fluctuating asymmetry or other morphometric traits, suggesting a population with low variance in inbreeding. Together these results suggest this population does not meet conventional genetic criteria of an endangered population, as the population seems sufficiently large to avoid inbreeding and its detrimental effects. This study paves the way for the genetic monitoring of this recently discovered ESU of a species with patrimonial and conservation concerns.","flo.riquet@gmail.com; cathy.haag@haagliautard.net; lucy.woodall@zoo.ox.ac.uk; Julien.Claude@univ-montp2.fr; patrick.louisy@wanadoo.fr; nicolas.bierne@umontpellier.fr",2019,"10.1007/s10592-019-01210-3","CONSERVATION GENETICS","temporal-genetics","EG","Kyle","accept","accept","empirical","popsize","diversity","","","no","marine","Actinopterygii","France","Thau Lagoon","2013.01.01,2008.01.01,2006.01.01","49,110,13",730,"pre-designed","natural","","","","chronic","SNP","skin","ethanol","cetyltrimethylammonium bromide chloroform:isoamyl alcohol","Illumina_HiSeq","PCR","generation time is unknown, they chose 2 years but also used 3 and 5 year times; basically testing for inbreeding, note that they are endangered but no test of driver/disturbance in the study; fin clip used I just put skin; ","2013.01.01","49","110","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5027397260274,2557,7.00547945205479
"160",193,6053,NA,"Phenotypic changes and reduced genetic diversity have accompanied the rapid decline of the garden tiger moth (Arctia caja) in the UK","Anderson, SJ; Conrad, KF; Gillman, MP; Woiwod, IP; Freeland, JR","1. Previous studies have quantified the recent decline of numerous Lepidopteran species in the U.K., including the garden tiger moth (Arctia caja), in C which abundance has decreased by 85% over the past 30 years. At the same time that overall numbers have been falling, the distribution of abundance of this species has been moving northwards. In this study, morphological and genetic data were used to C, investigate the possibility that these changes in abundance and distribution have been accompanied by microevolutionary changes. 2. A comparison of wing size and shape in current and historical moth samples revealed that wing shape has altered significantly over the past century, resulting in longer, narrower hindwings and narrower forewings for a given forewing length. Habitat fragmentation and increased suitability of northerly sites provide a plausible explanation for the selection of increasingly dispersive individuals. 3. Mitochondrial DNA revealed no phylogeographic structuring either before or after the population decline. However, a comparison of mtDNA haplotypes from current and museum specimens indicated that the recent population decline across the U.K. has been accompanied by a significant loss of genetic diversity. 4. The changes in wing shape suggest recent adaptation to environmental change, whereas a loss of genetic diversity may limit the ability of garden tiger moths to adapt to future environmental change.","joannafreelan@trentu.ca",2008,"10.1111/j.1365-2311.2008.01013.x","ECOLOGICAL ENTOMOLOGY","historical-dna","EG","Kyle","accept","accept","empirical","diversity","popsize","","","no","terrestrial","Insecta","UK","","","",28,"opportunistic","anthropogenic","habitat_loss","","","chronic","mtDNA_seq","muscle","dried","Nucleospin Tissue Kit","Sanger","PCR","This paper should be in the diversity section, no analysis of population size metrics; tissue type was an entire leg; generation time source: 10.1371/journal.pone.0152787",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",194,5484,NA,"Spatio-temporal population genetics of the Danish pine marten (Martes martes)","Pertoldi, C; Barker, SF; Madsen, AB; Jorgensen, H; Randi, E; Munoz, J; Baagoe, HJ; Loeschcke, V","A spatio-temporal study of genetic variation in the Danish pine marten (Martes martes) populations from the Jutland peninsula and from the island of Sealand was performed using 11 microsatellite markers. Samples obtained from 1892 to 2003 were subdivided into historical (prior to 1970) and recent (from 1970) groups. As compared with the historical samples, there was a significant loss of genetic variation in the recent Jutland population, but not in Sealand. Effective population sizes were estimated using Bayesian-based software (TMVP). Historical effective population sizes were 5897 (90% highest probability density, HPD, limits: 1502-6849) in Jutland and 1300 (90% HPD limits: 224-5929) in Sealand, whereas recent effective population sizes were 14.7 (90% HPD limits: 10.9-23.5) in Jutland and 802 (90% HPD limits: 51.8-5510) in Sealand. Significant genetic differentiation (F-ST) was found between the two historical samples, between the two recent samples, and between the historical and the recent sample in Jutland; whereas the F-ST value between the historical and the recent sample in Sealand was not significant. The significant genetic differentiation between the historical and the recent samples indicates changes in the genetic compositions over time, and the higher F-ST values between the two recent samples, as compared with the two historical samples, indicates that the populations in Sealand and Jutland have drifted apart within a short time span. No deviation from Hardy-Weinberg equilibrium was found within populations, indicating no further substructuring. (c) 2008 The Linnean Society of London.","biocp@nf.au.dk",2008,"10.1111/j.1095-8312.2007.00892.x","BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY","ancient-dna","KF","Brendan","accept","accept","empirical","popsize","diversity","connectivity","","no","terrestrial","Mammalia","Denmark","Jutland, Sealand","1987.01.01, 1931.01.01","57,46",1095,"opportunistic","anthropogenic","habitat_loss","","","chronic","microsat","hair","dried","chloroform/CTAB, microconcentrator","Sanger","PCR","BR - hair + teeth used for historical samples. 2 sites","1987.01.01","57","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6794520547945,20454,56.0383561643836
"162",195,3192,NA,"Genetic monitoring and complex population dynamics: insights from a 12-year study of the Rio Grande silvery minnow","Osborne, MJ; Carson, EW; Turner, TF","The endangered Rio Grande silvery minnow persists as a remnant population in a highly fragmented and regulated arid-land river system. The species is subject to dramatic annual fluctuations in density. Since 2003, the wild population has been supplemented by hatchery-reared fish. We report on a 12-year (19992010) monitoring study of genetic diversity and effective population size (Ne) of wild and hatchery stocks. Our goals were to evaluate how genetic metrics responded to changes in wild fish density and whether they corresponded to the number and levels of diversity of hatchery-reared repatriates. Genetic diversity and all measures of Ne in the wild population did not correlate with wild fish density until hatchery supplementation began in earnest. Estimates of variance and inbreeding effective size were not correlated. Our results suggest sourcesink dynamics where captive stocks form a genetically diverse source and the wild population behaves as a sink. Nevertheless, overall genetic diversity of silvery minnow has been maintained over the last decade, and we attribute this to a well-designed and executed propagation management plan. When multiple factors like environmental fluctuation and hatchery supplementation act simultaneously on a population, interpretation of genetic monitoring data may be equally complex and require considerable ecological data.","mosborne@unm.edu",2012,"10.1111/j.1752-4571.2011.00235.x","EVOLUTIONARY APPLICATIONS","temporal-genetics","JW","Brendan","accept","accept","empirical","popsize","diversity","","","no","freshwater","Actinopterygii","USA","Nevada","1987.01.01,1999.01.01,2000.01.01,2001.01.01,2002.01.01,2003.01.01,2004.01.01,2005.01.01,2006.01.01,2007.01.01,2008.01.01,2009.01.01,2010.01.01","43,46,194,128,389,169,162,394,383,218,479,478,446",365,"pre-designed","anthropogenic","habitat_loss","","","chronic","microsat","skin","ethanol","phenol-chloroform","Sanger","PCR","","1987.01.01","43","46","194","128","389","169","162","394","383","218","479","478","446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.0164383561644,8401,23.0164383561644
"163",197,10078,NA,"Temporal Mitogenomics of the Galapagos Giant Tortoise from Pinzon Reveals Potential Biases in Population Genetic Inference","Jensen, EL; Miller, JM; Edwards, DL; Garrick, RC; Tapia, W; Caccone, A; Russello, MA","Empirical population genetic studies generally rely on sampling subsets of the population(s) of interest and of the nuclear or organellar genome targeted, assuming each is representative of the whole. Violations of these assumptions may impact population-level parameter estimation and lead to spurious inferences. Here, we used targeted capture to sequence the full mitochondrial genome from 123 individuals of the Galapagos giant tortoise endemic to Pinzon Island (Chelonoidis duncanensis) sampled at 2 time points pre- and postbottleneck (circa 1906 and 2014) to explicitly assess differences in diversity estimates and demographic reconstructions based on subsets of the mitochondria! genome versus the full sequences and to evaluate potential biases associated with diversity estimates and demographic reconstructions from postbottlenecked samples alone. Haplotypic diversities were equal between the temporal samples based on the full mitochondrial genome, but single gene estimates suggested either decreases or increases in diversity depending upon the region. Demographic reconstructions based on the full sequence were more similar between the temporal samples than those based on the control region alone, or a subset of 3 regions, where the trends in population size changes shifted in magnitude and direction between the temporal samples. In all cases, the estimated coalescent point was more distant for the historical than contemporary sample. In summary, our results empirically demonstrate the influence of sampling bias when interpreting population genetic patterns and punctuate the need for careful consideration of potentially conflicting evolutionary signal across the mitochondrial genome.","evelyn.ensen@queensu.ca; michael.russello@ubc.ca",2018,"10.1093/jhered/esy016","JOURNAL OF HEREDITY","ancient-dna","AAS","Brendan","accept","accept","empirical","popsize","","","","no","terrestrial","Reptilia","Ecuador","Galapagos Islands (Pinzón)","2014.01.01,1906.01.01","45,78",9125,"opportunistic","anthropogenic","human_exploitation","invasive_species","","acute","mtDNA_seq","bone","dried","Gamba et al. Protocol Y","Illumina_HiSeq","Targeted_sequence_capture","Article suggested only 1 generation has elapsed between timepoints (maybe bc very little reproduction in 1900s?), but probably more like 25 years (Throp 1975)","2014.01.01","45","78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ecuador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32295890410959,39447,108.07397260274
"164",198,3735,NA,"Genetic monitoring of a founder population of brown bears (Ursus arctos) in central Austria","Kruckenhauser, L; Rauer, G; Daubl, B; Haring, E","The small population of brown bears in central Austria originated from a single migrant bear that had settled in the area in 1972 and three bears that were released in the years 1989-1993. Subsequently, the population has been monitored by radio-tracking and collecting data on bear signs and observations. In 2000 we started a genetic monitoring program of the population with the aim to obtain data on population size, sex ratio, relationships as well as movements of individuals. We present results from six years of genetic monitoring, which were combined with field observations. During this time 1,005 hair and faecal samples were gathered in an area of[ 3,000 km(2), most of them in the core area of <1,000 km(2). Furthermore we analysed blood samples from captured individuals. Eight microsatellite and two sex determination loci were employed for DNA profiling. The number of detected individuals is surprisingly low, ranging from 5-8 per year. Concerning relationships the analysis reveals that all genotyped individuals are descendants of the founder individuals indicating that no immigration took place. Only one male and three females (mother and 2 daughters) took part in reproduction. Considering the fact that 28 bears were born in this region since 1991 the question arises where the bears disappear to. Our results suggest that subadult bears migrate from the core area. However, indices of bear occurrence outside the core area are rare and migration could be proved only for two young males. Other explanations, such as increased natural mortality and illegal hunting are discussed.","Luise.Kruckenhauser@nhm-wien.ac.at",2009,"10.1007/s10592-008-9654-6","CONSERVATION GENETICS","historical-dna","ACS","Brendan","accept","accept","empirical","popsize","","","","no","terrestrial","Mammalia","Austria","Alps","2005.01.01,2003.01.01,2002.01.01,2001.01.01,2000.01.01,1999.01.01,1998.01.01,1996.01.01,1993.01.01,1991.01.01,1989.01.01","1,1,3,2,3,1,1,2,3,1,4",4563,"opportunistic","anthropogenic","human_exploitation","","","acute","microsat","hair","dried","Chelex","Sanger","PCR","microsatellites and sex determination loci - only counting msats used for individual ID here. Also used fecal samples but primarily hair","2005.01.01","1","1","3","2","3","1","1","2","3","1","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28073635765943,5844,16.0109589041096
"165",199,8433,NA,"Long-term inference of population size and habitat use in a socially dynamic population of wild western lowland gorillas","Hagemann, L; Arandjelovic, M; Robbins, MM; Deschner, T; Lewis, M; Froese, G; Boesch, C; Vigilant, L","Genetic estimation of population sizes has been critical for monitoring cryptic and rare species; however, population estimates do not inherently reveal the permanence or stability of the population under study. Thus, it is important to monitor not only the number of individuals in a population, but also how they are associated in groups and how those groups are distributed across the landscape. Adding to the challenge of obtaining such information with high precision for endangered and elusive species is the need for long-term collection of such data. In this study we compare sampling approaches and genotype non-invasive genetic samples to estimate the number and distribution of wild western lowland gorillas occupying a 100 km(2) area in Loango National Park, Gabon, for the periods 2005-2007 and 2014-2017. Based on the number of genotyped individuals we inferred a minimum of 83 gorillas during the first and 81 gorillas during the second study period. We also obtained similar capture-recapture population size estimates for the two periods despite variance in social dynamics like group formations, group dissolutions and individual dispersal. We furthermore found area fidelity for two groups that were sampled for 10-12 years, despite variation in group membership. Our results revealed how individual movements link groups in a 'network' and show that western lowland gorilla populations can show a high degree of temporal and geographic stability concurrent with substantial social dynamics.","laura_hagemann@eva.mpg.de",2019,"10.1007/s10592-019-01209-w","CONSERVATION GENETICS","temporal-genetics","ACS","Kyle","accept","accept","empirical","popsize","","","","no","terrestrial","Mammalia","Gabon","Loango National Park","","",8030,"pre-designed","natural","","","","acute","microsat","hair","dried","EURx Gene Matrix Stool DNA kit version 1.2","Sanger","PCR","really unclear sampling scheme; DNA sample was feces; Generation time source IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gabon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
