Article_Number,Second_Filter_Flag,Article_Title,Authors,Abstract,Email_Addresses,Publication_Year,DOI,Source_Title,Keyword_Search,Reviewer,Recorder,Decision,Removal_Criteria,study_type,subject_1,subject_2,subject_3,subject_4,hybridization,system,tax_group,country_samp,loc_samp,year_samp,num_samp,num_timepoints,earliest_timepoint,latest_timepoint,gen_time,study_design,type_change,driver_process1,driver_process2,driver_process3,length_process,data_type,tissue_type,preserv_method,extract_method,seq_platform,lib_prep_method,notes
6781,NA,Monitoring chromosomal polymorphism in Drosophila subobscura over 40 years,"Orengo, DJ; Puerma, E; Aguade, M","The inversion chromosomal polymorphism of Drosophila subobscura is considered to be adaptive as a result of its responses at different time scales to temperature changes. This work reports the longest-term study of chromosomal polymorphism for a single population of D.subobscura with climatic data from the collecting site itself. The chromosomal analysis of D.subobscura samples collected six times over a 40-year period at the same location and in the same seasonal interval has revealed the continuous presence of 16 common and six moderately rare chromosomal arrangements through the period. This analysis also corroborates the previously detected negative relationship between the frequencies of the standard (cold-climate) arrangement on each of its five chromosomes and temperature, as well as between a comprehensive measure of cold adaptation (the total autosomal proportion of standard arrangement) and temperature. These and previous results would support that species harboring cold- and warm-adapted polymorphic chromosomal arrangements, like D.subobscura, can rapidly respond to environmental changes.",dorcasorengo@ub.edu,2016,10.1111/ens.12189,ENTOMOLOGICAL SCIENCE,temporal-genetics,BR,KF,reject,non-genomic,NA,NA,NA,NA,NA,no,terrestrial,Insecta,Spain,Observatori Fabra Barcelona,"2011.01.01, 1989.01.01, 1988.01.01, 1987.01.01, 1972.01.01, 1971.01.01","164, 979, 724, 97, 137, 40",NA,NA,NA,7,opportunistic,anthropogenic,climate_change,env_variation,NA,chronic,NA,NA,NA,NA,NA,NA,"karyotyping for genetic analysis- this is not an option in our dropdown menu; https://bdsc.indiana.edu/information/fly-culture.html generation time reference, karyotyping done for genetic analysis"
9859,NA,Drosophila simulans: A Species with Improved Resolution in Evolve and Resequence Studies,"Barghi, N; Tobler, R; Nolte, V; Schlotterer, C","The combination of experimental evolution with high-throughput sequencing of pooled individualsi.e., evolve and resequence (E&R)is a powerful approach to study adaptation from standing genetic variation under controlled, replicated conditions. Nevertheless, E&R studies in Drosophila melanogaster have frequently resulted in inordinate numbers of candidate SNPs, particularly for complex traits. Here, we contrast the genomic signature of adaptation following approximate to 60 generations in a novel hot environment for D. melanogaster and D. simulans. For D. simulans, the regions carrying putatively selected loci were far more distinct, and thus harbored fewer false positives, than those in D. melanogaster. We propose that species without segregating inversions and higher recombination rates, such as D. simulans, are better suited for E&R studies that aim to characterize the genetic variants underlying the adaptive response.",christian.schloetterer@vetmeduni.ac.at,2017,10.1534/g3.117.043349,G3-GENES GENOMES GENETICS,ancient-dna,BR,KF,reject,non-temporal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No temporal sampling   
276,NA,Genomic architecture of habitat-related divergence and signature of directional selection in the body shapes of Gnathopogon fishes,"Kakioka, R; Kokita, T; Kumada, H; Watanabe, K; Okuda, N","Evolution of ecomorphologically relevant traits such as body shapes is important to colonize and persist in a novel environment. Habitat-related adaptive divergence of these traits is therefore common among animals. We studied the genomic architecture of habitat-related divergence in the body shape of Gnathopogon fishes, a novel example of lake-stream ecomorphological divergence, and tested for the action of directional selection on body shape differentiation. Compared to stream-dwelling Gnathopogon elongatus, the sister species Gnathopogon caerulescens, exclusively inhabiting a large ancient lake, had an elongated body, increased proportion of the caudal region and small head, which would be advantageous in the limnetic environment. Using an F-2 interspecific cross between the two Gnathopogon species (195 individuals), quantitative trait locus (QTL) analysis with geometric morphometric quantification of body shape and restriction-site associated DNA sequencing-derived markers (1622 loci) identified 26 significant QTLs associated with the interspecific differences of body shape-related traits. These QTLs had small to moderate effects, supporting polygenic inheritance of the body shape-related traits. Each QTL was mostly located on different genomic regions, while colocalized QTLs were detected for some ecomorphologically relevant traits that are proxy of body and caudal peduncle depths, suggesting different degree of modularity among traits. The directions of the body shape QTLs were mostly consistent with the interspecific difference, and QTL sign test suggested a genetic signature of directional selection in the body shape divergence. Thus, we successfully elucidated the genomic architecture underlying the adaptive changes of the quantitative and complex morphological trait in a novel system.",kakiokar@gmail.com; kokita@fpu.ac.jp,2015,10.1111/mec.13309,MOLECULAR ECOLOGY,ancient-dna,JW,KF,reject,non-temporal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Double check but doesn't seem to be comparing temporal samples
2670,NA,Niche shifting in response to warming climate after the last glacial maximum: inference from genetic data and niche assessments in the chisel-toothed kangaroo rat (Dipodomys microps),"Jezkova, T; Olah-Hemmings, V; Riddle, BR","During Pleistocene glacial-interglacial cycles, the geographic range is often assumed to have shifted as a species tracks its climatic niche. Alternatively, the geographic range would not necessarily shift if a species can adapt in situ to a changing environment. The potential for a species to persist in place might increase with the diversity of habitat types that a species exploits. We evaluate evidence for either range shift or range stability between the last glacial maximum (LGM) and present time in the chisel-toothed kangaroo rat (Dipodomys microps), an endemic of the Great Basin and Mojave deserts. We modeled how the species' range would have changed if the climatic niche of the species remained conserved between the LGM and present time. The climatic models imply that if D. microps inhabited the same climatic niche during the LGM as it does today, the species would have persisted primarily within the warm Mojave Desert and expanded northwards into the cold Great Basin only after the LGM. Contrary to the climatic models, the mitochondrial DNA assessment revealed signals of population persistence within the current distribution of the species throughout at least the latest glacial-interglacial cycle. We concluded that D. microps did not track its climatic niche during late Pleistocene oscillations, but rather met the challenge of a changing environment by shifting its niche and retaining large portions of its distribution. We speculate that this kind of response to fluctuating climate was possible because of 'niche drifting', an alteration of the species' realized niche due to plasticity in various biological characters. Our study provides an example of an approach to reconstruct species' responses to past climatic changes that can be used to evaluate whether and to what extent taxa have capacity to shift their niches in response to the changing environment - information becoming increasingly important to predicting biotic responses to future environmental changes.",jezkovat@unlv.nevada.edu,2011,10.1111/j.1365-2486.2011.02508.x,GLOBAL CHANGE BIOLOGY,museum-dna,JW,KF,reject,non-temporal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No temporal sampling done- uses coalescent models to infer the past demographics
2679,NA,"Biogeography, habitat transitions and hybridization in a radiation of South American silverside fishes revealed by mitochondrial and genomic RAD data","Hughes, LC; Cardoso, YP; Sommer, JA; Cifuentes, R; Cuello, M; Somoza, GM; Gonzalez-Castro, M; Malabarba, LR; Cussac, V; Habit, EM; Betancur-R, R; Orti, G","Rivers and lake systems in the southern cone of South America have been widely influenced by historical glaciations, carrying important implications for the evolution of aquatic organisms, including prompting transitions between marine and freshwater habitats and by triggering hybridization among incipient species via waterway connectivity and stream capture events. Silverside fishes (Odontesthes) in the region comprise a radiation of 19 marine and freshwater species that have been hypothesized on the basis of morphological or mitochondrial DNA data to have either transitioned repeatedly into continental waters from the sea or colonized marine habitats following freshwater diversification. New double digest restriction-site associated DNA data presented here provide a robust framework to investigate the biogeographical history of and habitat transitions in Odontesthes. We show that Odontesthes silversides originally diversified in the Pacific but independently colonized the Atlantic three times, producing three independent marine-to-freshwater transitions. Our results also indicate recent introgression of marine mitochondrial haplotypes into two freshwater clades, with more recurring instances of hybridization among Atlantic- versus Pacific-slope species. In Pacific freshwater drainages, hybridization with a marine species appears to be geographically isolated and may be related to glaciation events. Substantial structural differences of estuarine gradients between these two geographical areas may have influenced the frequency, intensity and evolutionary effects of hybridization events.",lilychughes@gmail.com,2020,10.1111/mec.15350,MOLECULAR ECOLOGY,historical-dna,JW,KF,reject,non-temporal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Samples across years but pools the samples together for analysis and does not do any temporal comparisons
991,NA,EVOLUTIONARY PERSPECTIVES IN A MUTUALISM OF SEPIOLID SQUID AND BIOLUMINESCENT BACTERIA: COMBINED USAGE OF MICROBIAL EXPERIMENTAL EVOLUTION AND TEMPORAL POPULATION GENETICS,"Soto, W; Punke, EB; Nishiguchi, MK","The symbiosis between marine bioluminescent Vibrio bacteria and the sepiolid squid Euprymna is a model for studying animalbacterial Interactions. Vibrio symbionts native to particular Euprymna species are competitively dominant, capable of outcompeting foreign Vibrio strains from other Euprymna host species. Despite competitive dominance, secondary colonization events by invading nonnative Vibrio fischeri have occurred. Competitive dominance can be offset through superior nonnative numbers and advantage of early start host colonization by nonnatives, granting nonnative vibrios an opportunity to establish beachheads in foreign Euprymna hosts. Here, we show that nonnative V. fischeri are capable of rapid adaptation to novel sepiolid squid hosts by serially passaging V. fischeri JRM200 (native to Hawaiian Euprymna scolopes) lines through the novel Australian squid host E. tasmanica for 500 generations. These experiments were complemented by a temporal population genetics survey of V. fischeri, collected from E. tasmanica over a decade, which provided a perspective from the natural history of V. fischeri evolution over 15,00020,000 generations in E. tasmanica. No symbiont anagenic evolution within squids was observed, as competitive dominance does not purge V. fischeri genetic diversity through time. Instead, abiotic factors affecting abundance of V. fischeri variants in the planktonic phase sustain temporal symbiont diversity, a property itself of ecological constraints imposed by V. fischeri host adaptation.",nish@nmsu.edu,2012,10.1111/j.1558-5646.2011.01547.x,EVOLUTION,temporal-genetics,KC,KF,reject,microbiology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Temporal genomics aspect is on bacteria being isolated from squid, so non-animal"
8911,NA,Genetic and life-history changes associated with fisheries-induced population collapse,"Pukk, L; Kuparinen, A; Jarv, L; Gross, R; Vasemagi, A","Over the recent years, growing number of studies suggests that intensive size-selective fishing can cause evolutionary changes in life-history traits in the harvested population, which can have drastic negative effects on populations, ecosystems and fisheries. However, most studies to date have overlooked the potential role of immigration of fish with different phenotypes as an alternative plausible mechanism behind observed phenotypic trends. Here, we investigated the evolutionary consequences of intensive fishing simultaneously at phenotypic and molecular level in Eurasian perch (Perca fluviatilis L.) population in the Baltic Sea over a 24-year period. We detected marked changes in size- and age-distributions and increase in juvenile growth rate. We also observed reduction of age at sexual maturity in males that has frequently been considered to support the hypothesis of fisheries-induced evolution. However, combined individual-based life-history and genetic analyses indicated increased immigration of foreign individuals with different life-history patterns as an alternative mechanism behind the observed phenotypic change. This study demonstrates the value of combining genetic and phenotypic analyses and suggests that replacement or breakdown of locally adapted gene complexes may play important role in impeding the recovery of fish populations.",lilian.pukk@emu.ee,2013,10.1111/eva.12060,EVOLUTIONARY APPLICATIONS,temporal-genetics,KC,KF,accept,accept,empirical,adaptation,NA,NA,NA,NA,marine,Teleostei,"Estonia, Baltic Sea","Paslepa.Haapsalu.MatsaluBay.Virtsu.ParnuBay, MatsaluBay, MatsaluBay, MatsaluBay, MatsaluBay, MatsaluBay, MatsaluBay, MatsaluBay.ParnuBay","2010.05.22, 2009.05.22, 2000.05.22, 1996.05.22, 1993.05.22, 1990.05.22, 1988.05.22, 1987.05.22","19.19.100.24.52, 73, 76, 102, 102, 100, 201, 104.52","8,2",1987.05.22,2010.05.22,730-1825,pre-designed,anthropogenic,human_exploitation,NA,NA,chronic,microsat,scale,ethanol,Swatdipong_etal_2010,NA,PCR,Generation time from Weagle and Baxter 1974
10990,NA,Evolutionary Time-Series Analysis Reveals the Signature of Frequency-Dependent Selection on a Female Mating Polymorphism,"Le Rouzic, A; Hansen, TF; Gosden, TP; Svensson, EI","A major challenge in evolutionary biology is understanding how stochastic and deterministic factors interact and influence macroevolutionary dynamics in natural populations. One classical approach is to record frequency changes of heritable and visible genetic polymorphisms over multiple generations. Here, we combined this approach with a maximum likelihood-based population-genetic model with the aim of understanding and quantifying the evolutionary processes operating on a female mating polymorphism in the blue-tailed damselfly Ischnura elegans. Previous studies on this color-polymorphic species have suggested that males form a search image for females, which leads to excessive mating harassment of common female morphs. We analyzed a large temporally and spatially replicated data set of between-generation morph frequency changes in I. elegans. Morph frequencies were more stable than expected from genetic drift alone, suggesting the presence of selection toward a stable equilibrium that prevents local loss or fixation of morphs. This can be interpreted as the signature of negative frequency-dependent selection maintaining the phenotypic stasis and genetic diversity in these populations. Our novel analytical approach allows the estimation of the strength of frequency-dependent selection from the morph frequency fluctuations around their inferred long-term equilibria. This approach can be extended and applied to other polymorphic organisms for which time-series data across multiple generations are available.",lerouzic@legs.cnrs-gif.fr,2015,10.1086/680982,AMERICAN NATURALIST,temporal-genetics,KC,KF,reject,non-genetic,NA,NA,NA,NA,NA,NA,terrestrial,Insecta,Sweden,Lund,"2011.07.01, 2010.07.01, 2009.07.01, 2008.07.01, 2007.07.01, 2006.07.01, 2005.07.01, 2004.07.01, 2003.07.01, 2002.07.001, 2001.07.01, 2000.07.01",6413,NA,NA,NA,365,opportunistic,natural,env_variation,NA,NA,chronic,NA,NA,NA,NA,NA,NA,"Sample size is the total number of females caught over the entire study (12 years), no genomic or genetic sampling component- damselflies are visually inspected for color (the alleles determining color are already understood), this is a temporal evolution paper but not a temporal genomics paper"
128,NA,Parallel allochronic divergence in a winter moth due to disruption of reproductive period by winter harshness,"Yamamoto, S; Sota, T","The disruption of reproductive timing by climatic harshness may result in the temporal isolation of conspecific populations and, ultimately, in speciation. However, whether temporal isolation alone can act as the force initiating speciation and how often the same type of climatic disruption results in the divergence of allochronic populations in a lineage are largely unknown. The reproductive period of the winter geometrid moth Inurois punctigera is separated into early and late winter in habitats with severe winters, but not in habitats with mild winters, suggesting that the reproductive season is disrupted by the harshness of the mid-winter period. Here, we show that sympatric pairs of early- and late-winter populations that differ in origin exist in different regions, suggesting a parallel divergence of reproductive timing. In each region, significant genetic differentiation exists between these early- and late-winter populations, suggesting that the temporal reproductive isolation has persisted. Moreover, we demonstrate that the temporal isolation, in comparison with geographic isolation, contributes greatly to the genetic differentiation among geographic and temporal populations by an analysis of molecular variance and by a comparison of genetic differentiations (FST) between geographic populations with and without difference in reproductive season. Our results suggest that adaptive divergence of allochronically reproducing populations has occurred independently in different regions, implying the generality of the role of temporal isolation in initiating speciation in a winter moth lineage.",s_yamamoto@terra.zool.kyoto-u.ac.jp,2012,10.1111/j.1365-294X.2011.05371.x,MOLECULAR ECOLOGY,temporal-genomics,RC,KF,reject,non-temporal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No comparisons made between years
794,NA,RIVERSCAPE GENETICS IDENTIFIES REPLICATED ECOLOGICAL DIVERGENCE ACROSS AN AMAZONIAN ECOTONE,"Cooke, GM; Landguth, EL; Beheregaray, LB","Ecological speciation involves the evolution of reproductive isolation and niche divergence in the absence of a physical barrier to gene flow. The process is one of the most controversial topics of the speciation debate, particularly in tropical regions. Here, we investigate ecologically based divergence across an Amazonian ecotone in the electric fish, Steatogenys elegans. We combine phylogenetics, genome scans, and population genetics with a recently developed individual-based evolutionary landscape genetics approach that incorporates selection. This framework is used to assess the relative contributions of geography and divergent natural selection between environments as biodiversity drivers. We report on two closely related and sympatric lineages that exemplify how divergent selection across a major Amazonian aquatic ecotone (i.e., between rivers with markedly different hydrochemical properties) may result in replicated ecologically mediated speciation. The results link selection across an ecological gradient with reproductive isolation and we propose that assortative mating based on water color may be driving the divergence. Divergence resulting from ecologically driven selection highlights the importance of considering environmental heterogeneity in studies of speciation in tropical regions. Furthermore, we show that framing ecological speciation in a spatially explicit evolutionary landscape genetics framework provides an important first step in exploring a wide range of the potential effects of spatial dependence in natural selection.",luciano.beheregaray@flinders.edu.au,2014,10.1111/evo.12410,EVOLUTION,museum-dna,RC,KF,reject,non-temporal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Comparing between sampling sites, not between time points"
2612,NA,Parallel evolution and vicariance in the guppy (Poecilia reticulata) over multiple spatial and temporal scales,"Alexander, HJ; Taylor, JS; Wu, SST; Breden, F","Well-studied model systems present ideal opportunities to understand the relative roles of contemporary selection versus historical processes in determining population differentiation and speciation. Although guppy populations in Trinidad have been a model for studies of evolutionary ecology and sexual selection for more than 50 years, this work has been conducted with little understanding of the phylogenetic history of this species. We used variation in nuclear (X-src) and mitochondrial DNA (mtDNA) sequences to examine the phylogeographic history of Poecilia reticulata Peters (the guppy) across its entire natural range, and to test whether patterns of morphological divergence are a consequence of parallel evolution. Phylogenetic, nested clade, population genetic, and demographic analyses were conducted to investigate patterns of genetic structure at several temporal scales and are discussed in relation to vicariant events, such as tectonic activity and glacial cycles, shaping northeast South American river drainages. The mtDNA phylogeny defined five major lineages, each associated with one or more river drainages, and analysis of molecular variance also detected geographic structuring among these river drainages in an evolutionarily conserved nuclear (X-src) locus. Nested clade and other demographic analyses suggest that the eastern Venezuela/ western Trinidad region is likely the center of origin of P. reticulata. Mantel tests show that the divergence of morphological characters, known to differentiate on a local scale in response to natural and sexual selection pressures, is not associated with mtDNA genetic distance; however, TreeScan analysis identified several significant associations of these characters with the haplotype tree. Parallel upstream/downstream patterns of morphological adaptation in response to selection pressures reported in P. reticulata within Trinidad rivers appears to persist across the natural range. Our results together with previous studies suggest that, although morphological variation in P. reticulata is primarily attributed to selection, phylogeographic history may also play a role.",hjbrook@sfu.ca; taylorjs@uvic.ca; sswu@sfu.ca; breden@sfu.ca,2006,10.1111/j.0014-3820.2006.tb01870.x,EVOLUTION,historical-dna,RC,KF,reject,non-temporal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Samples at different times but does not do any comparison between time points and pools them together, is looking at differences between sampling sites not over time"
32,NA,Spatial and temporal variations of the chromosomal inversion frequencies across the range of malaria mosquito Anopheles messeae Fall. (Culicidae) during the 40-year monitoring period,"Stegniy, VN; Pishchelko, AO; Sibataev, AK; Abylkassymova, G","The analysis of personal and published data on the frequency dynamics of chromosomal inversions within the range of Anopheles messeae obtained during the period from 1974 through 2014 is presented. The results showed that, in general, across the species range, during the 40 years of genetic monitoring, there was a steady (stationary) clinal distribution of inversions in the first decade (1974-1985). Then, over the period of five years (1986-1990), there was a considerable change in the inversion frequencies in favor of southwestern chromosomal variants (particularly strongly fixed in the Tomsk population), and from 1992 to the present time, these changes remained and were relatively stably reproduced in most parts of the range. It was noted that the jump in warming during the winter of 1981-1982 led to a correlated jump of the southwestern chromosomes in the Tomsk population. In connection with the general tendency toward the increase in average winter temperatures, a sharp decrease in the 2R(1) chromosome frequency in the Siberian region and Syktyvkar in the period from 1992 to the present time was observed. There is reason to assume that, over the past decade, the northern boundary of the An. messeae range moved northward to the tundra zone.",stegniy@res.tsu.ru; bio_1979@mail.ru,2016,10.1134/S1022795416060132,RUSSIAN JOURNAL OF GENETICS,temporal-genetics,EG,KF,reject,non-genomic,NA,NA,NA,NA,NA,NA,terrestrial,Insecta,Kazakhstan,NA,"2014.01.01, 1974.01.01",NA,NA,NA,NA,NA,opportunistic,anthropogenic,climate_change,env_variation,NA,chronic,NA,NA,NA,NA,NA,NA,"In the fence= Genome evolution, traking chromosomal inversions through time; Cytogenetic analysis to identify chromosome inversions and comparing frequencies of chromosomal inversions between years, no genomic methods, no information on specific sampling locations, exact years sampled, or sample sizes"
4011,NA,A millennial-scale chronicle of evolutionary responses to cultural eutrophication in Daphnia,"Frisch, D; Morton, PK; Chowdhury, PR; Culver, BW; Colbourne, JK; Weider, LJ; Jeyasingh, PD","For an accurate assessment of the anthropogenic impacts on evolutionary change in natural populations, we need long-term environmental, genetic and phenotypic data that predate human disturbances. Analysis of c. 1600years of history chronicled in the sediments of South Center Lake, Minnesota, USA, revealed major environmental changes beginning c. 120years ago coinciding with the initiation of industrialised agriculture in the catchment area. Population genetic structure, analysed using DNA from dormant eggs of the keystone aquatic herbivore, Daphnia pulicaria, suggested no change for c. 1500years prior to striking shifts associated with anthropogenic environmental alterations. Furthermore, phenotypic assays on the oldest resurrected metazoan genotypes (potentially as old as c. 700years) indicate significant shifts in phosphorus utilisation rates compared to younger genotypes. Younger genotypes show steeper reaction norms with high growth under high phosphorus (P), and low growth under low P, while ancient' genotypes show flat reaction norms, yet higher growth efficiency under low P. Using this resurrection ecology approach, environmental, genetic and phenotypic data spanning pre- and post-industrialised agricultural eras clearly reveal the evolutionary consequences of anthropogenic environmental change.",dfrisch@ou.edu; puni.jeyasingh@okstate.edu,2014,10.1111/ele.12237,ECOLOGY LETTERS,ancient-dna,JW,KF,reject,ancient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"analyzed daphnia eggs from sediment cores; RC: rejecting bc only one time point reported (?) and looking across millenia; Using daphnia eggs and eppiphial hatchlings in lake sediment cores, so there is a time span of 1600 years of data, but only one sample year, eutrophication is main driver investigated"
712,NA,Bateman-Trivers in the 21st Century: sexual selection in a North American pitviper,"Levine, BA; Smith, CF; Schuett, GW; Douglas, MR; Davis, MA; Douglas, ME","Assessment of sexual selection in organisms with cryptic life histories is challenging, although accurate parentage assignments using genotypic markers, combined with behavioural observations and a method to account for open population bias, allow for robust estimation of metrics. In the present study, we employed 22 tetranucleotide microsatellite DNA loci to interpret mating and reproductive success in a population of Copperhead (Viperidae, Agkistrodon contortrix) in Connecticut, USA. We sampled DNA from 114 adults (56 males, 58 females) and 137 neonates from known mothers to quantify Bateman gradients ((ss)), as well as sex-specific opportunities for selection (I) and sexual selection (I-s). We also estimated selection on male size [snout-to-vent length (SVL)], a trait important for successful combat and subsequent copulations. Estimates of male I and I-s differed significantly from those of females when estimated with four different methods and only males had a significant Bateman gradient. As predicted, male reproductive success was positively correlated with increasing SVL. These results contrast with those derived in another study investigating the same population but based solely on observational data and without correction for open population bias. We thus argue that molecular approaches to quantifying reproductive success and strength of sexual selection provide more accurate results than do behavioural observations alone.(c) 2014 The Linnean Society of London, Biological Journal of the Linnean Society, 2015, 114, 436-445.",blevine@email.uark.edu,2015,10.1111/bij.12434,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,historical-dna,KC,KF,reject,non-temporal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non-temporal: samples collected between 2001 and 2003 but were all pooled together and no comparisons between years were made
7887,NA,Fine-scale population differences in Atlantic cod reproductive success: A potential mechanism for ecological speciation in a marine fish,"Roney, NE; Oomen, RA; Knutsen, H; Olsen, EM; Hutchings, JA","Successful resource-management and conservation outcomes ideally depend on matching the spatial scales of population demography, local adaptation, and threat mitigation. For marine fish with high dispersal capabilities, this remains a fundamental challenge. Based on daily parentage assignments of more than 4,000 offspring, we document fine-scaled temporal differences in individual reproductive success for two spatially adjacent (<10 km) populations of a broadcast-spawning marine fish. Distinguished by differences in genetics and life history, Atlantic cod (Gadus morhua) from inner- and outer-fjord populations were allowed to compete for mating and reproductive opportunities. After accounting for phenotypic variability in several traits, reproductive success of outer-fjord cod was significantly lower than that of inner-fjord cod. This finding, given that genomically different cod ecotypes inhabit inner- and outer-fjord waters, raises the intriguing hypothesis that the populations might be diverging because of ecological speciation. Individual reproductive success, skewed within both sexes (more so among males), was positively affected by body size, which also influenced the timing of reproduction, larger individuals spawning later among females but earlier among males. Our work suggests that spatial mismatches between management and biological units exist in marine fishes and that studies of reproductive interactions between putative populations or ecotypes can provide an informative basis on which determination of the scale of local adaptation can be ascertained.",jhutch@dal.ca,2018,10.1002/ece3.4615,ECOLOGY AND EVOLUTION,temporal-genetics,KF,KF,reject,non-temporal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non-temporal: all genetic samples were taken over a 90-day period in the same year
10145,NA,"Temporal changes in kin structure through a population cycle in a territorial bird, the red grouse Lagopus lagopus scoticus","Piertney, SB; Lambin, X; Maccoll, ADC; Lock, K; Bacon, PJ; Dallas, JF; Leckie, F; Mougeot, F; Racey, PA; Redpath, S; Moss, R","Populations of red grouse (Lagopus lagopus scoticus) undergo regular multiannual cycles in abundance. The 'kinship hypothesis' posits that such cycles are caused by changes in kin structure among territorial males producing delayed density-dependent changes in aggressiveness, which in turn influence recruitment and regulate density. The kinship hypothesis makes several specific predictions about the levels of kinship, aggressiveness and recruitment through a population cycle: (i) kin structure will build up during the increase phase of a cycle, but break down prior to peak density; (ii) kin structure influences aggressiveness, such that there will be a negative relationship between kinship and aggressiveness over the years; (iii) as aggressiveness regulates recruitment and density, there will be a negative relationship between aggressiveness in one year and both recruitment and density in the next; (iv) as kin structure influences recruitment via an affect on aggressiveness, there will be a positive relationship between kinship in one year and recruitment the next. Here we test these predictions through the course of an 8-year cycle in a natural population of red grouse in northeast Scotland, using microsatellite DNA markers to resolve changing patterns of kin structure, and supra-orbital comb height of grouse as an index of aggressiveness. Both kin structure and aggressiveness were dynamic through the course of the cycle, and changing patterns were entirely consistent with the expectations of the kinship hypothesis. Results are discussed in relation to potential drivers of population regulation and implications of dynamic kin structure for population genetics.",s.piertney@abdn.ac.uk,2008,10.1111/j.1365-294X.2008.03778.x,MOLECULAR ECOLOGY,temporal-genetics,RC,KF,reject,non-genomic,NA,NA,NA,NA,NA,NA,terrestrial,Aves,Scotland,"Glas Choille (57°07?N, 3°19?W)","2003.01.01, 2002.01.01, 2001.01.01, 2000.01.01, 1999.01.01, 1998.01.01, 1997.01.01, 1996.01.01, 1995.01.01, 1994.01.01",464,NA,NA,NA,NA,pre-designed,natural,NA,NA,NA,NA,microsat,NA,NA,NA,NA,PCR,"Checking with others- only genetic component is using microsats to identify kin structure/relatedness and comparing kin size from year to year. Either pop size or not relevant for our criteria?, only total sample size over all years was reported (464), tissue type is blood but this wasn't an option on the drop down menu, no drivers/processes discussed in the paper"
10328,NA,Chaotic genetic patchiness without sweepstakes reproduction in the shore crab Hemigrapsus oregonensis,"Cornwell, BH; Fisher, JL; Morgan, SG; Neigel, JE","Fine-scale spatial and temporal variation in the genetic composition of benthic recruits, known as chaotic genetic patchiness, is often observed in marine and estuarine species with planktonic larvae. Several explanations have been proposed for chaotic genetic patchiness, including sweepstakes reproductive success, variability in larval source, and natural selection. In a survey of the green shore crab Hemigrapsus oregonensis in Bodega Bay, California, USA, allele frequencies at a mitochondrial single nucleotide polymorphism were found to differ significantly among samples of first-stage zoeae and between zoeae and adults. Sweepstakes reproductive success is unlikely to be responsible because the fecundity of this species is too low and there was no reduction in genetic diversity among zoeae. In principle, influxes of larvae from genetically distinct populations over 500 km to the north could have caused these differences; however, coalescent estimates indicated that gene flow from these distant populations has been very low and it is unlikely that first-stage zoeae would have been transported such great distances. The possibility remains that natural selection, directly or indirectly, is responsible for the observed patchiness in mitochondrial allele frequencies.",bhcornwell@ucdavis.edu,2016,10.3354/meps11628,MARINE ECOLOGY PROGRESS SERIES,temporal-genetics,EG,KF,reject,non-temporal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More of a species identification focus, no temporal comparison between the same life stage- larvae collected in 2006 and adults collected in 2010"
